camera_id,road_name,corridor_name,location_name,nearest_landmark,landmark_key,latitude,longitude,coordinate_precision,camera_type,direction_of_travel,speed_limit_kmh,active_status,source_name,source_url,source_type,date_accessed,confidence_score,confidence_level,verification_status,notes
CAM-001,Thika Superhighway,Thika Road,Safari Park area,Safari Park Hotel,safari_park,,,unknown,fixed,both,110,reported_active,"Daily Nation; Kenya Insights",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,62,medium,needs_field_check,"Corridor enforcement well reported; exact camera point NOT published by NTSA. Anchor is the hotel landmark, not the camera."
CAM-002,Thika Superhighway,Thika Road,Jomoko / Thika Road turnoff,Jomoko,jomoko_turnoff,,,unknown,fixed,both,,reported_active,"Kenyans.co.ke (NTSA-attributed)",https://www.kenyans.co.ke/news/124034-ntsa-activates-automated-traffic-cameras-enforce-speed-limits-nairobi,media,2026-06-21,50,medium,needs_field_check,"Speed value disputed (80 vs 110). Landmark position approximate."
CAM-003,Thika Superhighway,Thika Road,Allsops / GSU HQ,Allsops,allsops,,,unknown,fixed,both,,reported_active,"Kenyans.co.ke (NTSA-attributed)",https://www.kenyans.co.ke/news/124034-ntsa-activates-automated-traffic-cameras-enforce-speed-limits-nairobi,media,2026-06-21,55,medium,needs_field_check,"Reported camera zone; exact point unpublished. Speed disputed."
CAM-004,Thika Superhighway,Thika Road,Pangani / Muthaiga Interchange,Pangani interchange,pangani_interchange,,,unknown,fixed,both,,reported_active,"Kenyans.co.ke (NTSA-attributed)",https://www.kenyans.co.ke/news/124034-ntsa-activates-automated-traffic-cameras-enforce-speed-limits-nairobi,media,2026-06-21,55,medium,needs_field_check,"Reported camera zone; exact point unpublished. Speed disputed."
CAM-005,Thika Superhighway,Thika Road,Roysambu / TRM,Thika Road Mall,roysambu_trm,,,unknown,unknown,both,,reported_active,"Daily Nation",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,55,medium,needs_field_check,"Reported monitored area near TRM; camera type/point unconfirmed."
CAM-006,Southern Bypass,Southern Bypass,Near virtual weighbridge (Ngong Rd side),Virtual weighbridge,southern_bypass_weighbridge,,,unknown,fixed,both,80,reported_active,"Daily Nation; NTSA ITMS",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,58,medium,needs_field_check,"Among first ITMS corridors. Weighbridge anchor uncertain - verify."
CAM-007,Northern Bypass,Northern Bypass,Gitaru / Wangige stretch,Gitaru,northern_bypass_gitaru,,,unknown,mobile,both,80,reported_active,"Daily Nation (mobile common)",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,45,low,needs_field_check,"Mobile cameras by nature have no fixed point; anchor is indicative only."
CAM-008,Nairobi Expressway,Nairobi Expressway,Museum Hill exit area,Museum Hill,expressway_museum_hill,,,unknown,unknown,both,80,reported_active,"Daily Nation",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,62,medium,needs_field_check,"80 km/h reported for section; camera point unpublished."
CAM-009,Nairobi Expressway,Nairobi Expressway,After Nyayo Stadium,Nyayo Stadium,expressway_nyayo,,,unknown,unknown,both,80,reported_active,"Daily Nation",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,60,medium,needs_field_check,"80 km/h reported; camera point unpublished."
CAM-010,Mombasa Road,Mombasa Road,Nyayo to Sameer / GM,Sameer Business Park,mombasa_sameer,,,unknown,fixed,both,80,reported_active,"Daily Nation; NTSA ITMS",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,58,medium,needs_field_check,"First ITMS corridor; point unpublished."
CAM-011,Mombasa Road,Mombasa Road,Cabanas / JKIA approach,Cabanas,mombasa_cabanas,,,unknown,fixed,both,80,reported_active,"Daily Nation; seed list",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,55,medium,needs_field_check,"Monitored zone reported; point unpublished."
CAM-012,Waiyaki Way,Waiyaki Way,Kangemi to Uthiru,Kangemi,waiyaki_kangemi,,,unknown,unknown,both,,reported_active,"Daily Nation; seed list",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,52,medium,needs_field_check,"Monitored zone reported, 60-80 km/h; point unpublished."
CAM-013,Lang'ata Road,Lang'ata Road,Uhuru Gardens area,Uhuru Gardens,langata_uhuru_gardens,,,unknown,unknown,both,50,reported_active,"seed list",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,50,medium,needs_field_check,"Single-source report; verify."
CAM-014,Western Bypass,Western Bypass,Ruaka / Wangige area,Ruaka,western_bypass_ruaka,,,unknown,unknown,both,80,reported_active,"seed list",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-06-21,48,low,needs_field_check,"Reported monitored zone; speed inferred; point unpublished."
CAM-015,Redhill Link Road,Redhill Link Road,Redhill Link Road,Redhill,redhill_link,,,unknown,unknown,both,,reported_active,"seed list (SMS example)",,media,2026-06-21,40,low,needs_field_check,"SMS-offence example only. Speed unknown, signed locally. Lowest confidence."
