zone_id,country,county,constituency,road_name,road_number,corridor_name,from_place,to_place,section_name,geometry_type,speed_limit_kmh,speed_limit_min_kmh,speed_limit_max_kmh,vehicle_class,zone_type,camera_present,camera_type,enforcement_status,source_name,source_url,source_type,source_date,date_accessed,last_verified,confidence_score,confidence_level,verification_status,notes,created_at,updated_at,geom_from_key,geom_to_key
SZ-001,Kenya,Nairobi,Roysambu,Thika Superhighway,A2,Thika Road,Safari Park,Thika Road exit,Safari Park 110 stretch,LineString,110,,,private,camera_enforced,true,fixed,reported_active,"Daily Nation; Kenya Insights",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-03-13,2026-06-21,,78,high,source_verified,"110 km/h stretch widely reported (NTSA-attributed) where first instant fine occurred. Corridor confirmed; exact segment extent needs field check.",2026-06-21,2026-06-21,safari_park,roysambu_trm
SZ-002,Kenya,Nairobi,Kasarani,Thika Superhighway,A2,Thika Road,Jomoko / Thika Road turnoff,,Jomoko turnoff,Point,,80,110,private,camera_enforced,true,fixed,reported_active,"Kenyans.co.ke (NTSA-attributed) vs seed list",https://www.kenyans.co.ke/news/124034-ntsa-activates-automated-traffic-cameras-enforce-speed-limits-nairobi,media,2026-06-07,2026-06-21,,55,medium,needs_field_check,"CONFLICT: seed list says 80 km/h; NTSA-attributed media says up to 110 km/h here. Encoded as range 80-110 pending posted-sign verification.",2026-06-21,2026-06-21,jomoko_turnoff,
SZ-003,Kenya,Nairobi,Ruaraka,Thika Superhighway,A2,Thika Road,Allsops / GSU HQ,,Allsops - GSU HQ,Point,,80,110,private,camera_enforced,true,fixed,reported_active,"Kenyans.co.ke (NTSA-attributed) vs seed list",https://www.kenyans.co.ke/news/124034-ntsa-activates-automated-traffic-cameras-enforce-speed-limits-nairobi,media,2026-06-07,2026-06-21,,55,medium,needs_field_check,"CONFLICT: seed says 80; NTSA-attributed media groups this with up-to-110 sections. Range 80-110 pending verification.",2026-06-21,2026-06-21,allsops,
SZ-004,Kenya,Nairobi,Starehe,Thika Superhighway,A2,Thika Road,Pangani / Muthaiga Interchange,,Pangani - Muthaiga interchange,Point,,80,110,private,camera_enforced,true,fixed,reported_active,"Kenyans.co.ke (NTSA-attributed) vs seed list",https://www.kenyans.co.ke/news/124034-ntsa-activates-automated-traffic-cameras-enforce-speed-limits-nairobi,media,2026-06-07,2026-06-21,,55,medium,needs_field_check,"CONFLICT: seed says 80; NTSA-attributed media groups this with up-to-110 sections. Range 80-110 pending verification.",2026-06-21,2026-06-21,pangani_interchange,
SZ-005,Kenya,Nairobi,Roysambu,Thika Superhighway,A2,Thika Road,Roysambu / TRM,,Roysambu - TRM,Point,,80,100,private,camera_enforced,true,unknown,reported_active,"Daily Nation; seed list",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-03-13,2026-06-21,,58,medium,needs_field_check,"Reported 80-100 km/h range. Exact posted limit and camera presence to verify on site.",2026-06-21,2026-06-21,roysambu_trm,
SZ-006,Kenya,Nairobi,Langata,Southern Bypass,C58,Southern Bypass,Ngong Road Interchange,Virtual Weighbridge,Ngong Rd interchange to virtual weighbridge,LineString,80,,,all,camera_enforced,true,fixed,reported_active,"NTSA ITMS rollout; Daily Nation",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-03-13,2026-06-21,,70,medium,source_verified,"Southern Bypass among first ITMS corridors. End-point geometry approximate; virtual weighbridge location uncertain.",2026-06-21,2026-06-21,southern_bypass_ngong,southern_bypass_weighbridge
SZ-007,Kenya,Kiambu,Kabete,Northern Bypass,C59,Northern Bypass,Gitaru,Wangige,Gitaru - Wangige section,LineString,80,,,all,camera_enforced,true,mobile,reported_active,"Daily Nation (mobile cameras common here)",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-03-13,2026-06-21,,55,medium,needs_field_check,"Reported as a mobile-camera area; by nature mobile units are not fixed points. Speed 80 inferred for the corridor class.",2026-06-21,2026-06-21,northern_bypass_gitaru,northern_bypass_wangige
SZ-008,Kenya,Nairobi,Westlands,Nairobi Expressway,A8,Nairobi Expressway,Museum Hill,Westlands,Museum Hill to Westlands,LineString,80,,,private,camera_enforced,true,unknown,reported_active,"Daily Nation (NTSA-set 80 km/h)",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-03-13,2026-06-21,,80,high,source_verified,"80 km/h explicitly reported for this Expressway section. Operator (Moja Expressway) signage should confirm.",2026-06-21,2026-06-21,expressway_museum_hill,expressway_westlands
SZ-009,Kenya,Nairobi,Starehe,Nairobi Expressway,A8,Nairobi Expressway,After Nyayo Stadium,,After Nyayo Stadium section,Point,80,,,private,camera_enforced,true,unknown,reported_active,"Daily Nation (NTSA-set 80 km/h)",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-03-13,2026-06-21,,78,high,source_verified,"80 km/h reported after Nyayo Stadium. Exact start/end of section to verify.",2026-06-21,2026-06-21,expressway_nyayo,
SZ-010,Kenya,Nairobi,Starehe,Mombasa Road,A8,Mombasa Road,Nyayo Stadium,Sameer / GM,Nyayo to Sameer/GM,LineString,80,,,all,camera_enforced,true,fixed,reported_active,"Daily Nation; NTSA ITMS rollout",https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,media,2026-03-13,2026-06-21,,68,medium,needs_field_check,"Mombasa Road among first ITMS corridors. Monitored zone reported; exact limit/extent to verify.",2026-06-21,2026-06-21,mombasa_nyayo,mombasa_sameer
