source_id,source_name,publisher,source_type,url,title,publication_date,date_accessed,claims_extracted,reliability_rating,notes
SRC-001,Traffic (Speed Limits) Rules 1975,Kenya Law,law,https://new.kenyalaw.org/akn/ke/act/ln/1975/62/eng@2022-12-31,"The Traffic (Speed Limits) Rules (LN 62/1975, rev 2022)",2022-12-31,2026-06-21,"Statutory speed-limit framework; vehicle-class schedule; speed-camera admissibility (LN 139/2011)",5,"Primary legal source. Revised by 24th Annual Supplement 2022."
SRC-002,Traffic Act Cap 403,Kenya Law,law,https://new.kenyalaw.org/akn/ke/act/cap/403,"Traffic Act, Chapter 403 Laws of Kenya",2022-12-31,2026-06-21,"s.42 speed limits; s.117 enforcement basis; Minor Traffic Offences framework",5,"Primary legislation. Section references should be confirmed against latest revision."
SRC-003,NTSA ITMS rollout announcement,NTSA (via Techweez / Pulse),official_agency,https://techweez.com/2026/02/25/ntsa-speed-cameras-itms-kenya/,"NTSA Rolls Out 1,000 Speed Cameras (ITMS)",2026-02-24,2026-06-21,"1,000 cameras (700 fixed + 300 mobile); first corridors Thika/Mombasa Rd/Southern Bypass; SMS instant fines",4,"NTSA announcement of 24 Feb 2026 captured via tech media. Treat agency claim as official; corridor specifics as reported."
SRC-004,Daily Nation - cameras to be marked,Nation Media Group,media,https://nation.africa/kenya/news/speed-cameras-to-be-clearly-marked-ntsa-says--5389530,"Speed cameras to be clearly marked, NTSA says",2026-03-13,2026-06-21,"Corridor list; Expressway 80 km/h Museum Hill-Westlands & after Nyayo; NTSA has NOT published a full camera map",4,"Most complete corridor list found. Key caveat: exact camera locations deliberately unpublished."
SRC-005,Kenyans.co.ke - NTSA activates cameras,Kenyans.co.ke,media,https://www.kenyans.co.ke/news/124034-ntsa-activates-automated-traffic-cameras-enforce-speed-limits-nairobi,"NTSA Activates Automated Traffic Cameras in Nairobi",2026-06-07,2026-06-21,"Up to 110 km/h at Jomoko/Allsops/Pangani; 50 km/h residential; 30 km/h school zones; Minor Traffic Offences Rules / s.117",3,"Source of the 80-vs-110 conflict on Thika Road. NTSA-attributed."
SRC-006,The Kenya Times - digital cameras,The Kenya Times,media,https://thekenyatimes.com/latest-kenya-times-news/how-ntsa-is-using-digital-cameras-in-major-highways-to-target-speed-motorists/,"How NTSA is using digital cameras on major highways",2025-04-18,2026-06-21,"Six-month pilot on Thika/Mombasa Rd/Southern Bypass; crash statistics",3,"Useful pilot-phase context (2025)."
SRC-007,Kenya Insights - instant fines,Kenya Insights,media,https://kenyainsights.com/caught-on-camera-everything-you-need-to-know-about-ntsas-instant-fines-system/,"Everything You Need To Know About NTSA's Instant Fines",2026-03-11,2026-06-21,"First fine on Thika Road day one; Safari Park-Thika exit 110 km/h; KCB/Pesa Print PPP",2,"Commentary/analysis; corroborates corridors. Lower reliability."
SRC-008,Pulse Kenya - ITMS offences,Pulse Live Kenya,media,https://www.pulse.co.ke/story/ntsa-smart-camera-fines-5-offences-that-trigger-instant-sms-fines-2026030118455378050,"NTSA Smart Camera Fines: 5 Offences",2026-03-02,2026-06-21,"ITMS formal announcement 24 Feb 2026; 1,000 cameras; e-DL integration",3,"Corroborates camera counts and rollout date."
SRC-009,NTV Kenya - how the system works,Nation Media Group (NTV),media,https://ntvkenya.co.ke/news/speed-cameras-how-ntsas-automated-system-works/,"Speed cameras: How NTSA's automated system works",2026-03-13,2026-06-21,"Corridor list (mirrors Daily Nation); map not published",4,"Broadcast source corroborating the corridor list."
SRC-010,OpenStreetMap,OpenStreetMap contributors,osm,https://www.openstreetmap.org/,"OSM road geometry (Kenya)",,2026-06-21,"Road centrelines for A2/A8/bypasses",3,"Geometry only. NOT used as legal proof of any speed limit. ODbL license - attribution required."
SRC-011,Daily Nation - instant fine penalties,Nation Media Group,media,https://nation.africa/kenya/news/all-you-need-to-know-about-ntsa-instant-fine-penalties--5385732,"All you need to know about NTSA instant fine penalties",2026-03-09,2026-06-21,"5,100+ road deaths 2025; motorist fined Sh10,000 for 128 km/h on Thika Road",4,"Penalty framework and real-world enforcement example."
